country_code,country_name
252,Afghanistan
199,Africa NES
401,Aland Island
081,Albania
131,Algeria
082,Andorra
151,Angola
620,Anguilla
621,Antigua and Barbuda
703,Argentina
049,Armenia
658,Aruba
299,Asia NES
305,Australia
399,Australia NES
011,Austria
050,Azerbaijan
035,Azores
622,Bahamas
253,Bahrain
412,Bailwick of Jersey
212,Bangladesh
610,Barbados
051,Belarus
012,Belgium
541,Belize
160,Benin
601,Bermuda
254,Bhutan
751,Bolivia
402,Bonaire Sint Eustatius Saba
048,Bosnia and Herzegovina
153,Botswana
403,Bouvet Island
709,Brazil
404,British Indian Ocean Territory
633,British Virgin Islands
255,Brunei Darussalam
083,Bulgaria
188,Burkina Faso
241,Burma (Myanmar)
154,Burundi
911,Cabo Verde
256,Cambodia
155,Cameroon
511,Canada
039,Canary Islands
624,Cayman Islands
157,Central African Republic
549,Central America NES
156,Chad
009,Channel Islands
721,Chile
202,China
200,China (Hong Kong SAR)
198,China (Macao SAR)
405,Christmas Island
722,Colombia
905,Comoros
840,Cook Islands
542,Costa Rica
043,Croatia
650,Cuba
406,Curaçao
221,Cyprus
015,Czech Republic
014,Czechoslovakia
158,Democratic Rep. of Congo
017,Denmark
183,Djibouti
625,Dominica
651,Dominican Republic
916,East Timor
753,Ecuador
101,Egypt
543,El Salvador
002,England
178,Equatorial Guinea
162,Eritrea
018,Estonia
161,Ethiopia
099,Europe NES
912,Falkland Islands
408,Faroe Islands
835,Federated States of Micronesia
801,Fiji
021,Finland
821,Fr. South. and Antarctic Lands
022,France
754,French Guiana
845,French Polynesia
163,Gabon
164,Gambia
052,Georgia
046,German Democratic Republic
024,Germany Federal Republic Of
165,Ghana
084,Gibraltar
025,Greece
521,Greenland
626,Grenada
653,Guadeloupe
832,Guam
544,Guatemala
409,Guernsey
166,Guinea
167,Guinea-Bissau
711,Guyana
654,Haiti
410,Heard and MacDonald Islands
545,Honduras
204,Hong Kong
026,Hungary
085,Iceland
205,India
222,Indonesia
223,Iran
224,Iraq
027,Ireland
411,Isle of Man
206,Israel
028,Italy
169,Ivory Coast
602,Jamaica
207,Japan
225,Jordan
053,Kazakhstan
132,Kenya
831,Kiribati
257,Korea North (DPRK)
258,Korea South
064,Kosovo
226,Kuwait
054,Kyrgyzstan
260,Laos
019,Latvia
208,Lebanon
152,Lesotho
170,Liberia
171,Libya
086,Liechtenstein
020,Lithuania
013,Luxembourg
261,Macao
070,Macedonia
172,Madagascar
036,Madeira
111,Malawi
242,Malaysia
901,Maldives
173,Mali
030,Malta
833,Marinas
834,Marshall Islands
655,Martinique
174,Mauritania
902,Mauritius
906,Mayotte
501,Mexico
055,Moldova
087,Monaco
262,Mongolia
063,Montenegro
627,Montserrat
133,Morocco
175,Mozambique
122,Namibia
341,Nauru
264,Nepal
652,Netherlands Antilles 
031,Netherlands
628,Nevis
822,New Caledonia
339,New Zealand
512,Newfoundland Dominion of
546,Nicaragua
176,Niger
177,Nigeria
414,Niue
271,North Vietnam
006,Northern Ireland
830,Northern Mariana Islands
032,Norway
899,Oceania NES
263,Oman
209,Pakistan
213,Palestinian Authority
547,Panama
548,Panama Canal Zone
343,Papau
342,Papua New Guinea
755,Paraguay
723,Peru
227,Philippines
842,Pitcairn Islands
033,Poland
034,Portugal
656,Puerto Rico
265,Qatar
159,Republic of Congo
836,Republic of Palau
903,Réunion
088,Romania
056,Russia
179,Rwanda
915,Saint Helena
629,Saint Kitts and Nevis
630,Saint Lucia
531,Saint Pierre and Miquelon
407,Saint-Barthelemy
415,Saint-Martin
844,Samoa
843,Samoa American
089,San Marino
914,Sao Tome and Principe
231,Saudi Arabia
007,Scotland
180,Senegal
061,Serbia and Montenegro
062,Serbia Republic of
904,Seychelles
181,Sierra Leone
266,Sikkim (Asia)
246,Singapore
416,Sint-Maarten
016,Slovakia
047,Slovenia
825,Soloman Islands
824,Solomon Islands
182,Somalia
121,South Africa
799,South America NES
189,South Sudan
037,Spain
201,Sri Lanka
631,St. Vincent and the Grenadines
185,Sudan
752,Suriname
186,Swaziland
040,Sweden
041,Switzerland
210,Syria
203,Taiwan
130,Tanzania
267,Thailand
268,Tibet (Autonomous Region)
187,Togo
417,Tokelau
846,Tonga
605,Trinidad and Tobago
135,Tunisia
045,Turkey
058,Turkmenistan
632,Turks and Caicos Islands
826,Tuvalu
418,U.S. Minor outlying Islands
136,Uganda
001,UK - British subject
059,Ukraine
981,UN specialized agency
042,Union Of Soviet Socialist Rep
280,United Arab Emirates
461,United States of America
724,Uruguay
060,Uzbekistan
823,Vanuatu
090,Vatican City State
725,Venezuela
270,Vietnam
657,Virgin Islands U.S.
008,Wales
841,Wallis and Futuna Is Terr.
699,West 
184,Western Sahara 
273,Yemen
274,Westeemen People's Dem
044,Yugoslavia
112,Zambia
113,Zimbabwe